project,description,url,url title,currency,milestone,systems to replace,cost,currency conversion,cost USD,start date,end date
British Columbia’s Integrated Case Management System,"The government of British Columbia, Canada, has been proudly touting that the new CA $182 million modernization of its social welfare support systems was performed on time and within budget last year. However, the Integrated Case Management (ICM) system that was supposed to replace 56 aging legacy systems fully replaced only 17 systems and partially replaced 5 others. Furthermore, government users of ICM have bitterly complained about its unreliability and poor usability. There is no word on when the other 34 legacy systems will be replaced or how much improved usability will cost.",http://spectrum.ieee.org/riskfactor/computing/it/british-columbias-integrated-case-management-system-falls-over,British Columbia's Integrated Case Management System Falls Over,CA $,start,56,182000000,0.9177,167021400,3/1/2008,11/1/2014
British Columbia’s Integrated Case Management System,,http://spectrum.ieee.org/riskfactor/computing/it/british-columbias-integrated-case-management-system-falls-over,British Columbia's Integrated Case Management System Falls Over,CA $,complete,17,182000000,0.9177,167021400,,11/1/2014
California’s Court Management System,The California Court Management System (CCMS) was canceled after burning through an estimated $556 million since its rollout to just 6 of 58 county courts. The project was killed in 2012 after the state auditor estimated that it would cost at least $1.9 billion to complete the effort; a consultant’s report put the cost to complete at “only” $1.3 billion. The original cost estimate was around $260 million.,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php,Computer system dropped after $500 million spent,US $,start,58,260000000,1,260000000,7/1/2002,6/1/2013
California’s Court Management System,,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php,Computer system dropped after $500 million spent,US $,termination,6,556000000,1,556000000,,3/1/2012
California’s MyCalPays Payroll Modernization Project,"The California MyCalPays state payroll modernization fiasco was actually two failures in one. The project started in 2004 with the objective of integrating 13 state-payroll-related IT systems into one; the estimated cost was $132 million with a completion date of June 2009. However, after the state spent $83.2 million and looking at spending at least $95 million more, the project was temporarily halted in January 2009 after the prime contractor was fired for lack of progress. The project was given a new scope, with the total cost estimate increasing to $305 million in early 2010 and a completion date set for September 2012. The project was finally canceled in early 2013 when the second contractor was fired. By this time the estimated cost had ballooned to $373 million, and the state had spent a total of $260 million.",http://www.lao.ca.gov/Recommendations/Details/761,21st Century Project Update [PDF],US $,start contract 1,13,132000000,1,132000000,5/1/2004,6/1/2009
California’s MyCalPays Payroll Modernization Project,,http://www.lao.ca.gov/Recommendations/Details/761,21st Century Project Update [PDF],US $,termination contract 1,0,83200000,1,83200000,,1/1/2009
California’s MyCalPays Payroll Modernization Project,,http://www.lao.ca.gov/Recommendations/Details/761,21st Century Project Update [PDF],US $,start contract 2,13,305000000,1,305000000,2/1/2010,9/1/2012
California’s MyCalPays Payroll Modernization Project,,http://www.lao.ca.gov/Recommendations/Details/761,21st Century Project Update [PDF],US $,termination contract 2,0,262000000,1,262000000,,2/1/2013
California’s CalPERS Benefits Management System,"The IT modernization effort undertaken by the California Public Employees' Retirement System (CalPERS) successfully eliminated 49 legacy systems, but the project overran its original $279 million cost estimate by $228 million and was more than two years late. In addition, its operation was so poor after it went live in 2011 that another $79 million has been spent trying to improve the system for its users.",http://spectrum.ieee.org/riskfactor/computing/it/government-it-projects-is-success-even-an-option,Government IT Projects: How Often is Success Even an Option?,US $,start,49,279000000,1,279000000,5/1/2005,4/1/2010
California’s CalPERS Benefits Management System,,http://spectrum.ieee.org/riskfactor/computing/it/government-it-projects-is-success-even-an-option,Government IT Projects: How Often is Success Even an Option?,US $,complete,49,507000000,1,507000000,,9/1/2011
California’s CalPERS Benefits Management System,,http://spectrum.ieee.org/riskfactor/computing/it/government-it-projects-is-success-even-an-option,Government IT Projects: How Often is Success Even an Option?,US $,fixed,49,586000000,1,586000000,,9/1/2013
